NON_GOI,GOI,mcc,TP,TN,FP,FN,sensitivity,specificity,untypeable,snp_sets,partition,type,set
0.910902643425007,0.910902643425007,0.910902643425007,2319,28327,19,411,0.84945054945055,0.999329711423128,1,"77271, 60053, 59958, 10511, 804",all,mcc,4
0.924519483502987,0.924519483502987,0.924519483502987,469,5675,13,58,0.889943074003795,0.997714486638537,0,"81607, 60053, 59958, 804, 59589",training,mcc,4
0.912411766859901,0.912411766859901,0.912411766859901,1904,22615,43,298,0.864668483197094,0.998102215553006,2,"81607, 60053, 59958, 804, 59589",validation,mcc,4
0.914762357811888,0.914762357811888,0.914762357811888,2373,28290,56,356,0.869549285452547,0.998024412615537,2,"81607, 60053, 59958, 804, 59589",all,mcc,4
0.923286400840636,0.923286400840636,0.923286400840636,459,5684,4,68,0.870967741935484,0.99929676511955,0,"55411, 60053, 59958, 804, 10511",training,mcc,4
0.908157734709906,0.908157734709906,0.908157734709906,1869,22635,23,334,0.84838856105311,0.998984905993468,1,"55411, 60053, 59958, 804, 10511",validation,mcc,4
0.911101860030464,0.911101860030464,0.911101860030464,2328,28319,27,402,0.852747252747253,0.99904748465392,1,"55411, 60053, 59958, 804, 10511",all,mcc,4
0.914206764005576,0.914206764005576,0.914206764005576,479,5654,17,66,0.878899082568807,0.997002292364662,0,"75022, 60060, 17726, 804, 8864",training,mcc,5
0.903841615753579,0.903841615753579,0.903841615753579,1876,22613,62,309,0.858581235697941,0.997265711135612,1,"75022, 60060, 17726, 804, 8864",validation,mcc,5
0.905916441826782,0.905916441826782,0.905916441826782,2355,28267,79,375,0.862637362637363,0.997213010654061,1,"75022, 60060, 17726, 804, 8864",all,mcc,5
0.925686440085117,0.925686440085117,0.925686440085117,481,5663,8,64,0.88256880733945,0.998589314053959,0,"50410, 60060, 59958, 804, 8864",training,mcc,5
0.91175472154966,0.91175472154966,0.91175472154966,1884,22635,40,301,0.862242562929062,0.998235942668137,1,"50410, 60060, 59958, 804, 8864",validation,mcc,5
0.914547953622657,0.914547953622657,0.914547953622657,2365,28298,48,365,0.866300366300366,0.998306639384746,1,"50410, 60060, 59958, 804, 8864",all,mcc,5
0.921423417809737,0.921423417809737,0.921423417809737,474,5666,5,71,0.869724770642202,0.999118321283724,0,"3045, 60060, 59958, 804, 8864",training,mcc,5
0.909867668374108,0.909867668374108,0.909867668374108,1874,22638,37,311,0.85766590389016,0.998368246968026,1,"3045, 60060, 59958, 804, 8864",validation,mcc,5
0.912178616619848,0.912178616619848,0.912178616619848,2348,28304,42,382,0.86007326007326,0.998518309461652,1,"3045, 60060, 59958, 804, 8864",all,mcc,5
0.921423417809737,0.921423417809737,0.921423417809737,474,5666,5,71,0.869724770642202,0.999118321283724,0,"3047, 60060, 59958, 804, 8864",training,mcc,5
0.909073233102985,0.909073233102985,0.909073233102985,1874,22635,40,311,0.85766590389016,0.998235942668137,1,"3047, 60060, 59958, 804, 8864",validation,mcc,5
0.911541954052014,0.911541954052014,0.911541954052014,2348,28301,45,382,0.86007326007326,0.998412474423199,1,"3047, 60060, 59958, 804, 8864",all,mcc,5
0.920359101098132,0.920359101098132,0.920359101098132,475,5664,7,70,0.871559633027523,0.998765649797214,0,"28320, 60060, 59958, 804, 8864",training,mcc,5
0.90820340186376,0.90820340186376,0.90820340186376,1860,22645,30,324,0.851648351648352,0.998676957001102,2,"28320, 60060, 59958, 804, 8864",validation,mcc,5
0.910640532013018,0.910640532013018,0.910640532013018,2335,28309,37,394,0.85562477097838,0.998694701192408,2,"28320, 60060, 59958, 804, 8864",all,mcc,5
0.918223643990697,0.918223643990697,0.918223643990697,472,5665,6,73,0.86605504587156,0.998941985540469,0,"48426, 60060, 59958, 804, 8864",training,mcc,5
0.906096608883483,0.906096608883483,0.906096608883483,1855,22643,32,330,0.848970251716247,0.998588754134509,1,"48426, 60060, 59958, 804, 8864",validation,mcc,5
0.908526600145588,0.908526600145588,0.908526600145588,2327,28308,38,403,0.852380952380952,0.998659422846257,1,"48426, 60060, 59958, 804, 8864",all,mcc,5
0.919311280102652,0.919311280102652,0.919311280102652,476,5662,9,69,0.873394495412844,0.998412978310703,0,"81607, 60060, 59958, 804, 8864",training,mcc,5
0.907443893040906,0.907443893040906,0.907443893040906,1872,22630,45,312,0.857142857142857,0.998015435501654,2,"81607, 60060, 59958, 804, 8864",validation,mcc,5
0.909822111123432,0.909822111123432,0.909822111123432,2348,28292,54,381,0.860388420666911,0.998094969307839,2,"81607, 60060, 59958, 804, 8864",all,mcc,5
0.920377074971533,0.920377074971533,0.920377074971533,471,5668,3,74,0.864220183486239,0.999470992770235,0,"55411, 60060, 77271, 59958, 804",training,mcc,5
0.913598369110025,0.913598369110025,0.913598369110025,1875,22651,24,310,0.85812356979405,0.998941565600882,1,"55411, 60060, 77271, 59958, 804",validation,mcc,5
0.914952210780403,0.914952210780403,0.914952210780403,2346,28319,27,384,0.859340659340659,0.99904748465392,1,"55411, 60060, 77271, 59958, 804",all,mcc,5
0.917155913467228,0.917155913467228,0.917155913467228,471,5665,6,74,0.864220183486239,0.998941985540469,0,"47433, 60060, 59958, 77271, 804",training,mcc,5
0.913597755115759,0.913597755115759,0.913597755115759,1876,22649,25,309,0.858581235697941,0.99889741554203,2,"47433, 60060, 59958, 77271, 804",validation,mcc,5
0.914308985312592,0.914308985312592,0.914308985312592,2347,28314,31,383,0.85970695970696,0.998906332686541,2,"47433, 60060, 59958, 77271, 804",all,mcc,5
0.917166798631399,0.917166798631399,0.917166798631399,469,5667,4,76,0.860550458715596,0.999294657026979,0,"77271, 60060, 2255, 59958, 804",training,mcc,5
0.912262383707898,0.912262383707898,0.912262383707898,1869,22652,23,316,0.855377574370709,0.998985667034179,1,"77271, 60060, 2255, 59958, 804",validation,mcc,5
0.913242350986889,0.913242350986889,0.913242350986889,2338,28319,27,392,0.856410256410256,0.99904748465392,1,"77271, 60060, 2255, 59958, 804",all,mcc,5
0.275196974120531,0.275196974120531,0.275196974120531,559,2697,2960,0,1,0.476754463496553,0,"54914, 20347, 47867, 44669, 4899",training,percent,1
0.260610671245203,0.260610671245203,0.260610671245203,2158,10467,12217,12,0.994470046082949,0.461426556162934,7,"54914, 20347, 47867, 44669, 4899",validation,percent,1
0.263515136275542,0.263515136275542,0.263515136275542,2717,13164,15177,12,0.995602784902895,0.464486080237112,7,"54914, 20347, 47867, 44669, 4899",all,percent,1
0.271341559219691,0.271341559219691,0.271341559219691,559,2654,3003,0,1,0.469153261445996,0,"4899, 1089, 20347, 47867, 40295",training,percent,1
0.257554208264531,0.257554208264531,0.257554208264531,2165,10253,12421,7,0.996777163904236,0.452191937902443,15,"4899, 1089, 20347, 47867, 40295",validation,percent,1
0.260291578582241,0.260291578582241,0.260291578582241,2724,12907,15424,7,0.997436836323691,0.455578694716036,15,"4899, 1089, 20347, 47867, 40295",all,percent,1
0.249887984022181,0.249887984022181,0.249887984022181,559,2407,3250,0,1,0.425490542690472,0,"36680, 20347, 44669, 84670, 47867",training,percent,1
